time,Alt,Mach,heat_load,Wgt_On_Whl,Aircraft_state
496.0,10000.0,1.2,4000.0,0.0,4.0
498.0,10000.0,1.2,4000.0,0.0,4.0
500.0,10000.0,1.2,4000.0,0.0,4.0
502.0,10000.0,1.2,4000.0,0.0,4.0
504.0,10000.0,1.2,4000.0,0.0,4.0
506.0,10000.0,1.2,4000.0,0.0,4.0
508.0,10000.0,1.2,4000.0,0.0,4.0
510.0,10000.0,1.2,4000.0,0.0,4.0
512.0,10000.0,1.2,4000.0,0.0,4.0
514.0,10000.0,1.2,4000.0,0.0,4.0
516.0,10000.0,1.2,4000.0,0.0,4.0
518.0,10000.0,1.2,4000.0,0.0,4.0
520.0,10000.0,1.2,4000.0,0.0,4.0
522.0,10000.0,1.2,4000.0,0.0,4.0
524.0,10000.0,1.2,4000.0,0.0,4.0
526.0,10000.0,1.2,4000.0,0.0,4.0
528.0,10000.0,1.2,4000.0,0.0,4.0
530.0,10000.0,1.2,4000.0,0.0,4.0
532.0,10000.0,1.2,4000.0,0.0,4.0
534.0,10000.0,1.2,4000.0,0.0,4.0
536.0,10000.0,1.2,4000.0,0.0,4.0
538.0,10000.0,1.2,4000.0,0.0,4.0
540.0,10000.0,1.2,4000.0,0.0,4.0
542.0,10000.0,1.2,4000.0,0.0,4.0
544.0,10000.0,1.2,4000.0,0.0,4.0
546.0,10000.0,1.2,4000.0,0.0,4.0
548.0,10000.0,1.2,4000.0,0.0,4.0
550.0,10000.0,1.2,4000.0,0.0,4.0
552.0,10000.0,1.2,4000.0,0.0,4.0
554.0,10000.0,1.2,4000.0,0.0,4.0
556.0,10000.0,1.2,4000.0,0.0,4.0
558.0,10000.0,1.2,4000.0,0.0,4.0
560.0,10000.0,1.2,4000.0,0.0,4.0
562.0,10000.0,1.2,4000.0,0.0,4.0
564.0,10000.0,1.2,4000.0,0.0,4.0
566.0,10000.0,1.2,4000.0,0.0,4.0
568.0,10000.0,1.2,4000.0,0.0,4.0
570.0,10000.0,1.2,4000.0,0.0,4.0
572.0,10000.0,1.2,4000.0,0.0,4.0
574.0,10000.0,1.2,4000.0,0.0,4.0
576.0,10000.0,1.2,4000.0,0.0,4.0
578.0,10000.0,1.2,4000.0,0.0,4.0
580.0,10000.0,1.2,4000.0,0.0,4.0
582.0,10000.0,1.2,4000.0,0.0,4.0
584.0,10000.0,1.2,4000.0,0.0,4.0
586.0,10000.0,1.2,4000.0,0.0,4.0
588.0,10000.0,1.2,4000.0,0.0,4.0
590.0,10000.0,1.2,4000.0,0.0,4.0
592.0,10000.0,1.2,4000.0,0.0,4.0
594.0,10000.0,1.2,4000.0,0.0,4.0
596.0,10000.0,1.2,4000.0,0.0,4.0
598.0,10000.0,1.2,4000.0,0.0,4.0
600.0,10000.0,1.2,4000.0,0.0,4.0
602.0,10000.0,1.2,4000.0,0.0,4.0
604.0,10000.0,1.2,4000.0,0.0,4.0
606.0,10000.0,1.2,4000.0,0.0,4.0
608.0,10000.0,1.2,4000.0,0.0,4.0
610.0,10000.0,1.2,4000.0,0.0,4.0
